USN,Operation,Status,Details
4AL23CS008,ADD_MOTHER,SUCCESS,""
4AL23CS008,ADD_FATHER,SUCCESS,""
4AL23CS008,ADD_PRESENT_ADDRESS,SUCCESS,""
4AL23CS008,ADD_PERMANENT_ADDRESS,SUCCESS,""
4AL23CS008,ADD_ENTRANCE_EXAMS,SUCCESS,""
4AL23CS008,ADD_SSLC_RECORD,SUCCESS,""
4AL23CS008,ADD_PUC_RECORD,SUCCESS,""
4AL23CS172,ADD_MOTHER,SUCCESS,""
4AL23CS172,ADD_FATHER,SUCCESS,""
4AL23CS172,ADD_PRESENT_ADDRESS,SUCCESS,""
4AL23CS172,ADD_PERMANENT_ADDRESS,SUCCESS,""
4AL23CS172,ADD_ENTRANCE_EXAMS,SUCCESS,""
4AL23CS172,ADD_SSLC_RECORD,SUCCESS,""
4AL23CS172,ADD_PUC_RECORD,SUCCESS,""
4AL23CS124,ADD_MOTHER,SUCCESS,""
4AL23CS124,ADD_FATHER,SUCCESS,""
4AL23CS124,ADD_PRESENT_ADDRESS,SUCCESS,""
4AL23CS124,ADD_PERMANENT_ADDRESS,SUCCESS,""
4AL23CS124,ADD_ENTRANCE_EXAMS,SUCCESS,""
4AL23CS124,ADD_SSLC_RECORD,SUCCESS,""
4AL23CS124,ADD_PUC_RECORD,SUCCESS,""
4AL23CS138,CREATE_STUDENT,SUCCESS,"Fixed by setting middleName to null"
4AL23CS138,ADD_MOTHER,SUCCESS,""
4AL23CS138,ADD_FATHER,SUCCESS,""
4AL23CS138,ADD_PRESENT_ADDRESS,SUCCESS,""
4AL23CS138,ADD_PERMANENT_ADDRESS,SUCCESS,""
4AL23CS138,ADD_ENTRANCE_EXAMS,SUCCESS,""
4AL23CS138,ADD_SSLC_RECORD,SUCCESS,""
4AL23CS138,ADD_PUC_RECORD,SUCCESS,""
4AL23CS172,ADD_MOTHER,SUCCESS,""
4AL23CS172,ADD_FATHER,SUCCESS,""
4AL23CS172,ADD_PRESENT_ADDRESS,SUCCESS,""
4AL23CS172,ADD_PERMANENT_ADDRESS,SUCCESS,""
4AL23CS172,ADD_ENTRANCE_EXAMS,SUCCESS,""
4AL23CS172,ADD_SSLC_RECORD,SUCCESS,""
4AL23CS172,ADD_PUC_RECORD,SUCCESS,""
4AL24CS400,ADD_MOTHER,SUCCESS,""
4AL24CS400,ADD_FATHER,SUCCESS,""
4AL24CS400,ADD_PRESENT_ADDRESS,SUCCESS,""
4AL24CS400,ADD_PERMANENT_ADDRESS,SUCCESS,""
4AL24CS400,ADD_ENTRANCE_EXAMS,SUCCESS,""
4AL24CS400,ADD_SSLC_RECORD,SUCCESS,""
4AL24CS400,ADD_PUC_RECORD,SUCCESS,""
4AL24CS404,ADD_MOTHER,SUCCESS,""
4AL24CS404,ADD_FATHER,SUCCESS,""
4AL24CS404,ADD_PRESENT_ADDRESS,SUCCESS,""
4AL24CS404,ADD_PERMANENT_ADDRESS,SUCCESS,""
4AL24CS404,ADD_ENTRANCE_EXAMS,SUCCESS,""
4AL24CS404,ADD_SSLC_RECORD,SUCCESS,""
4AL24CS404,ADD_PUC_RECORD,SUCCESS,""
4AL24CS405,ADD_MOTHER,SUCCESS,""
4AL24CS405,ADD_FATHER,SUCCESS,""
4AL24CS405,ADD_PRESENT_ADDRESS,SUCCESS,""
4AL24CS405,ADD_PERMANENT_ADDRESS,SUCCESS,""
4AL24CS405,ADD_ENTRANCE_EXAMS,SUCCESS,""
4AL24CS405,ADD_SSLC_RECORD,SUCCESS,""
4AL24CS405,ADD_PUC_RECORD,SUCCESS,""
4AL24CS410,ADD_MOTHER,SUCCESS,""
4AL24CS410,ADD_FATHER,SUCCESS,""
4AL24CS410,ADD_PRESENT_ADDRESS,SUCCESS,""
4AL24CS410,ADD_PERMANENT_ADDRESS,SUCCESS,""
4AL24CS410,ADD_ENTRANCE_EXAMS,SUCCESS,""
4AL24CS410,ADD_SSLC_RECORD,SUCCESS,""
4AL24CS410,ADD_PUC_RECORD,SUCCESS,""
4AL24CS411,ADD_MOTHER,SUCCESS,""
4AL24CS411,ADD_FATHER,SUCCESS,""
4AL24CS411,ADD_PRESENT_ADDRESS,SUCCESS,""
4AL24CS411,ADD_PERMANENT_ADDRESS,SUCCESS,""
4AL24CS411,ADD_ENTRANCE_EXAMS,SUCCESS,""
4AL24CS411,ADD_SSLC_RECORD,SUCCESS,""
4AL24CS411,ADD_PUC_RECORD,SUCCESS,""
4AL24CS412,ADD_MOTHER,SUCCESS,""
4AL24CS412,ADD_FATHER,SUCCESS,""
4AL24CS412,ADD_PRESENT_ADDRESS,SUCCESS,""
4AL24CS412,ADD_PERMANENT_ADDRESS,SUCCESS,""
4AL24CS412,ADD_ENTRANCE_EXAMS,SUCCESS,""
4AL24CS412,ADD_SSLC_RECORD,SUCCESS,""
4AL24CS412,ADD_PUC_RECORD,SUCCESS,""
4AL23CS900,ADD_MOTHER,SUCCESS,""
4AL23CS900,ADD_FATHER,SUCCESS,""
4AL23CS900,ADD_PRESENT_ADDRESS,SUCCESS,""
4AL23CS900,ADD_PERMANENT_ADDRESS,SUCCESS,""
4AL23CS900,ADD_ENTRANCE_EXAMS,SUCCESS,""
4AL23CS900,ADD_SSLC_RECORD,SUCCESS,""
4AL23CS900,ADD_PUC_RECORD,SUCCESS,""
