    USN,Operation,Status,Details
4AL22CS001,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS002,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS003,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS004,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS005,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS006,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS007,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS008,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS009,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS010,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS011,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS012,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS013,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS014,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS015,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS016,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS017,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS018,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS019,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS020,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS021,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS022,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS023,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS024,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS025,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS026,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS027,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS028,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS029,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS030,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS031,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS032,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS033,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS034,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS035,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS036,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS037,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS038,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS039,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS040,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS041,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS042,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS043,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS044,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS045,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS046,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS047,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS048,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS049,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS050,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS051,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS052,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS053,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS055,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS056,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS057,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS058,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS059,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS060,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS061,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS063,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS064,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS065,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS066,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS067,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS068,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
4AL22CS069,UPDATE_SEMESTER,SUCCESS,"Updated to semester 6"
